305|96|1512|chrome|1
558|60|1512|chrome|1
183|49|1512|chrome|1
116|29|1512|chrome|1
393|245|1512|chrome|1
52|20|1512|chrome|1
16|21|1512|chrome|1
106|29|1512|chrome|1
20|26|1512|chrome|1
334|31|1512|chrome|1
491|760|1497|chrome|1
420|172|1497|chrome|1
820|177|1484|chrome|1
708|1271|1484|chrome|1
765|905|1484|chrome|1
798|872|1484|chrome|1
750|973|1484|chrome|1
607|3337|1484|chrome|1
275|3340|1484|chrome|1
1083|232|1484|chrome|1
189|429|1484|chrome|1
1133|814|1484|chrome|3
793|960|1484|chrome|1
635|1451|1484|chrome|1
1338|4093|1484|chrome|1
1001|4421|1484|chrome|1
949|4422|1484|chrome|1
496|6678|1484|chrome|1
