996|267|1512|chrome|1
860|295|1512|chrome|1
1087|347|1512|chrome|1
883|371|1512|chrome|1
1198|268|1512|chrome|1
330|111|1512|chrome|1
75|285|1512|chrome|1
1183|250|1512|chrome|1
254|83|1497|chrome|1
213|110|1497|chrome|1
978|145|1497|chrome|1
724|509|1497|chrome|1
924|109|1497|chrome|1
1221|277|1484|chrome|1
1105|209|1484|chrome|1
1204|350|1484|chrome|1
1147|394|1484|chrome|1
1109|538|1484|chrome|1
1109|537|1484|chrome|1
1189|537|1484|chrome|1
83|363|1484|chrome|1
131|609|1484|chrome|1
1154|325|1484|chrome|1
1088|359|1484|chrome|1
