1011|297|1484|chrome|1
1132|312|1484|chrome|1
282|300|1484|chrome|1
424|227|1484|chrome|1
1053|240|1484|chrome|1
610|212|1484|chrome|1
911|198|1484|chrome|1
1043|223|1484|chrome|1
1205|266|1484|chrome|1
447|201|1484|chrome|1
172|360|1484|chrome|1
177|272|1484|chrome|1
1111|113|1484|chrome|1
1138|246|1484|chrome|1
239|416|1484|chrome|1
307|251|1484|chrome|1
222|197|1484|chrome|1
239|199|1484|chrome|1
452|185|1484|chrome|1
424|174|1484|chrome|1
709|131|1484|chrome|1
708|134|1484|chrome|1
712|126|1484|chrome|1
179|207|1484|chrome|1
179|207|1484|chrome|1
179|207|1484|chrome|1
179|207|1484|chrome|1
207|223|1484|chrome|1
247|205|1484|chrome|1
255|198|1484|chrome|1
953|205|1484|chrome|1
963|211|1484|chrome|1
1050|235|1484|chrome|1
962|209|1484|chrome|1
958|209|1484|chrome|1
959|217|1484|chrome|1
969|208|1484|chrome|1
951|211|1484|chrome|1
952|211|1484|chrome|1
1041|205|1484|chrome|1
826|174|1484|chrome|1
231|164|1484|chrome|1
119|249|1484|chrome|1
125|209|1484|chrome|1
1201|235|1484|chrome|1
1203|279|1484|chrome|1
1125|241|1484|chrome|1
1058|275|1484|chrome|1
1246|406|1484|chrome|1
1188|375|1484|chrome|1
801|526|1484|chrome|1
743|661|1484|chrome|1
1074|262|1484|chrome|1
110|171|1484|chrome|1
121|201|1484|chrome|1
126|199|1484|chrome|1
